title,url,channel,domain,watched,extracted,notes
المُخبر الاقتصادي+ | مقاعد فارغة وتأشيرات مرفوضة وأسعار خيالية.. من سرق كأس العالم من الجماهير؟,https://www.youtube.com/watch?v=EBrX7B1y7zQ,aj_kabrit,,,,
الدحيح | لماذا لا نستطيع الهروب من فيسبوك؟,https://www.youtube.com/watch?v=R7f5uoylrS8,aj_kabrit,,,,
الجهبذ | الحقيقة المرعبة وراء ملاعب كرة القدم,https://www.youtube.com/watch?v=_M2Ip8hIhQY,aj_kabrit,,,,
المدوان | كيف صدم المنتخب السعودي العالم في كأس العالم - أمريكا 1994؟,https://www.youtube.com/watch?v=kGJmJmtYFyA,aj_kabrit,,,,
المُخبر الاقتصادي+ | هل تُفجر حرب إيران كأس العالم 2026 في أمريكا؟,https://www.youtube.com/watch?v=oL5KLgJy-VM,aj_kabrit,,,,
الدحيح | ماذا لو انتصر النازيون في الحرب العالمية الثانية؟,https://www.youtube.com/watch?v=DQkCIxnkOyk,aj_kabrit,,,,
السليط الإخباري 2026 | من ستشجع في مونديال 2026؟ ماذا تعرف عن نظام الطيبات؟,https://www.youtube.com/watch?v=HaH4YeqcXps,aj_kabrit,,,,
المُخبر الاقتصادي+ | هل خدعت الفيفا أمريكا بأسوأ صفقة في تاريخ كأس العالم؟,https://www.youtube.com/watch?v=CZ3YghuSd5c,aj_kabrit,,,,
الدحيح | سمعته تسبقه.. ملك الغابة بين الرمز والحقيقة,https://www.youtube.com/watch?v=mHpAqi7OssU,aj_kabrit,,,,
الجهبذ | كيف كتب العرب تاريخهم في كأس العالم؟,https://www.youtube.com/watch?v=Hnhpd6DKLBA,aj_kabrit,,,,
التابلاين.. كيف أنقذ مشروع سعودي أوروبا من الجوع والبرد؟,https://www.youtube.com/watch?v=JJkgtXf4oR4,aj_kabrit,,,,
The Economic Investigator+ | How are the poor trapped between banks and finance companies with de...,https://www.youtube.com/watch?v=laH0EVnCgFY,aj_kabrit,,,,
الدحيح | هل الصمت التام راحة؟,https://www.youtube.com/watch?v=fAd2nKfrDB8,aj_kabrit,,,,
Al-Saleet News 2026 | Is there a ceasefire?,https://www.youtube.com/watch?v=4rhDw4LrfoY,aj_kabrit,,,,
The Economic Reporter+ | How is Britain suffering and regretting its exit from the European Union...,https://www.youtube.com/watch?v=v1yNVU1uk8E,aj_kabrit,,,,
El Da7ee7 | Chess.. A Game That Changed History?,https://www.youtube.com/watch?v=2LfJcOt7Zhs,aj_kabrit,,,,
The Genius | Why Doesn't Everyone Enjoy the Holiday?,https://www.youtube.com/watch?v=4xZSOmwSa84,aj_kabrit,,,,
The Spy | Alireza Akbari.. From Iranian Deputy Minister of Defense to the most dangerous spy in I...,https://www.youtube.com/watch?v=2urBppf3uy8,aj_kabrit,,,,
The Economic Investigator+ | $2.3 Million for a Ticket! How Did 2026 World Cup Prices Get Out of ...,https://www.youtube.com/watch?v=5Be-6WsMBgY,aj_kabrit,,,,
El Da7ee7 | Hatshepsut.. The Woman Who Ruled Egypt During the Era of the Pharaohs,https://www.youtube.com/watch?v=9LuE0YsEojI,aj_kabrit,,,,
المُخبر الاقتصادي+ | كيف تحاصر إيران صناعة زيوت السيارات العالمية عبر مضيق هرمز؟,https://www.youtube.com/watch?v=5QT58KiVi6U,aj_kabrit,,,,
El Da7ee7 | Why are we afraid of social interaction?,https://www.youtube.com/watch?v=XBTk4hQvgG0,aj_kabrit,,,,
The Expert | The History of the Beard,https://www.youtube.com/watch?v=MQhVC0isILw,aj_kabrit,,,,
Al-Midwan | How did a Kuwaiti woman put out the fires ignited by Saddam Hussein?,https://www.youtube.com/watch?v=HCjCk2ILbX0,aj_kabrit,,,,
المُخبر الاقتصادي+ | هل تفجر الديون الأمريكية الأزمة المالية العالمية القادمة؟,https://www.youtube.com/watch?v=V2dIvo7xHcM,aj_kabrit,,,,
El Da7ee7 | The Story of The Gunners and Arsenal's Secret History,https://www.youtube.com/watch?v=tiBLj7V-2zM,aj_kabrit,,,,
السليط الإخباري 2026 | أنتم سألتم ونحن أجبنا.. شاهد الحلقة واعرف أسرار فريق السليط,https://www.youtube.com/watch?v=LoF5RvVhFsI,aj_kabrit,,,,
