title,url,channel,domain,watched,extracted,notes,description
الدحيح - من خاف سلم,https://www.youtube.com/watch?v=UNbXsGSJpbs,aj_kabrit,,,,,
الدحيح - أشهر لوحة في العالم,https://www.youtube.com/watch?v=-X7dsuOPKtg,aj_kabrit,,,,,
الدحيح - الرقاقة الخطيرة,https://www.youtube.com/watch?v=LcyTafn0f2s,aj_kabrit,,,,,
الدحيح - العلاج بالصلصة,https://www.youtube.com/watch?v=YXgbDFPRGjc,aj_kabrit,,,,,
الدحيح - كيف يتعلم الأطباء؟,https://www.youtube.com/watch?v=UBUnXo1exBU,aj_kabrit,,,,,
الدحيح - قانون بنفورد,https://www.youtube.com/watch?v=YVk8olC0fmw,aj_kabrit,,,,,
الدحيح - موزاليزا,https://www.youtube.com/watch?v=uZL3018Y5Tk,aj_kabrit,,,,,
الدحيح - الحبة الزرقاء,https://www.youtube.com/watch?v=VKGgzzJ4dK0,aj_kabrit,,,,,
الدحيح - الأسطول الأصفر,https://www.youtube.com/watch?v=wG4-nSUXMUM,aj_kabrit,,,,,
الدحيح - البقاء,https://www.youtube.com/watch?v=XLEhRU1wlg4,aj_kabrit,,,,,
الدحيح - الرفض,https://www.youtube.com/watch?v=12LBGRT2cho,aj_kabrit,,,,,
الدحيح - الصلع,https://www.youtube.com/watch?v=DC4v9B0urGg,aj_kabrit,,,,,
الدحيح - ثقوب ما لهاش لازمة,https://www.youtube.com/watch?v=gPl0CSEpRg8,aj_kabrit,,,,,
الدحيح - اللانهائية,https://www.youtube.com/watch?v=sP3ilRaSPvM,aj_kabrit,,,,,
الدحيح - هدنة عيد الميلاد,https://www.youtube.com/watch?v=Negh_LoRmIo,aj_kabrit,,,,,
الدحيح - مديرون أشرار,https://www.youtube.com/watch?v=VRPcciuIMb8,aj_kabrit,,,,,
الدحيح - فلوس الأغنياء,https://www.youtube.com/watch?v=DXmDxlKWHYo,aj_kabrit,,,,,
الدحيح - الحرب العالمية الأولى,https://www.youtube.com/watch?v=saYVbgdn3VU,aj_kabrit,,,,,
الدحيح - أهم تاكسي في التاريخ,https://www.youtube.com/watch?v=q1fXIbe5s7s,aj_kabrit,,,,,
الدحيح - صعود أوبر,https://www.youtube.com/watch?v=PNkchH_EFec,aj_kabrit,,,,,
الدحيح - لازم تنام,https://www.youtube.com/watch?v=H5pTxwNoYb8,aj_kabrit,,,,,
الدحيح - موظفون بؤساء,https://www.youtube.com/watch?v=rrnHkoGLyNU,aj_kabrit,,,,,
الدحيح - جنكستان,https://www.youtube.com/watch?v=EADToaHo188,aj_kabrit,,,,,
الدحيح - طريقة عمل اللغة,https://www.youtube.com/watch?v=8FVHipm2O5I,aj_kabrit,,,,,
الدحيح - قانون الغابة,https://www.youtube.com/watch?v=aZI5UF1EWw8,aj_kabrit,,,,,
الدحيح - البكتيريا الشقية,https://www.youtube.com/watch?v=SzMRf9ONm_g,aj_kabrit,,,,,
الدحيح - ظاهرة الكلب المستضعف,https://www.youtube.com/watch?v=hUwssGjyNS0,aj_kabrit,,,,,
الدحيح - الرياضيون الخارقون,https://www.youtube.com/watch?v=natBdoO3E7k,aj_kabrit,,,,,
الدحيح - الشاويش بطوط,https://www.youtube.com/watch?v=3C2tG2eH9-k,aj_kabrit,,,,,
الدحيح - المجاز والجواز,https://www.youtube.com/watch?v=fasGAHGfMpc,aj_kabrit,,,,,
الدحيح - الفراعنة في 1602 ثانية,https://www.youtube.com/watch?v=NDiAWaODyXM,aj_kabrit,,,,,
الدحيح - الضغط العصبي,https://www.youtube.com/watch?v=8s3waZw1as0,aj_kabrit,,,,,""""" : rch-says-only-if-you-believe-it-can/#4f273f55682e -students-parental-pressure ege-freshman-depression"
الدحيح - الدحيح الحبّيب,https://www.youtube.com/watch?v=uzEZ-_tfNsM,aj_kabrit,,,,,
الدحيح - الدولفين الأزرق,https://www.youtube.com/watch?v=DSwejW3NelU,aj_kabrit,,,,,
الدحيح - الجوكر,https://www.youtube.com/watch?v=ih9bnh9QcwE,aj_kabrit,,,,,
الدحيح - تغريدة المخابرات الأمريكية,https://www.youtube.com/watch?v=GXuxaKo73oY,aj_kabrit,,,,,
الدحيح - أخو نيمار,https://www.youtube.com/watch?v=6xJQglUbro8,aj_kabrit,,,,,
الدحيح - أم جرثوم,https://www.youtube.com/watch?v=LqmKFLuCvSM,aj_kabrit,,,,,
الدحيح - الوحدة,https://www.youtube.com/watch?v=aKrXC_QdfMA,aj_kabrit,,,,,
الدحيح - عملة الفيسبوك,https://www.youtube.com/watch?v=psR8ss55AzA,aj_kabrit,,,,,
الدحيح - علاقات سامة,https://www.youtube.com/watch?v=t96BJxce_PA,aj_kabrit,,,,,
الدحيح - عفاريت الأسفلت,https://www.youtube.com/watch?v=Y7I9hmWCrrg,aj_kabrit,,,,,
الدحيح - هنعوض في الفاينل,https://www.youtube.com/watch?v=udr1bdC6VB0,aj_kabrit,,,,,""""" @Da7ee7"
الدحيح - حرب فيتنام 2,https://www.youtube.com/watch?v=cilkoN8EwJw,aj_kabrit,,,,,
الدحيح - حرب فيتنام 1,https://www.youtube.com/watch?v=aQlY7XnzJvQ,aj_kabrit,,,,,""""" ! @Da7ee7 - # . : [1] [2] [3] [4] [5] [6] [7] ["
الدحيح - القفز للمستقبل,https://www.youtube.com/watch?v=4aIxY-pGEQ4,aj_kabrit,,,,,
الدحيح - التوازي العلمي,https://www.youtube.com/watch?v=s92_WAmOc7Q,aj_kabrit,,,,,
الدحيح - الدولار,https://www.youtube.com/watch?v=CG48pSyK8GU,aj_kabrit,,,,,
الدحيح - التمساح المجنح,https://www.youtube.com/watch?v=ZQER0246qbA,aj_kabrit,,,,,
الدحيح - أجهزة عذراء,https://www.youtube.com/watch?v=1iZftbIYaV0,aj_kabrit,,,,,
الدحيح - يوتوبيا,https://www.youtube.com/watch?v=bkRPdt6xSEQ,aj_kabrit,,,,,
الدحيح - البطريق,https://www.youtube.com/watch?v=L43eKPMO1so,aj_kabrit,,,,,
الدحيح - إبادة الكتب,https://www.youtube.com/watch?v=BKGJwCTiN74,aj_kabrit,,,,,
الدحيح - قنبلة المادة المضادة,https://www.youtube.com/watch?v=WC7H6-U7T34,aj_kabrit,,,,,
الدحيح - فيلم العيد,https://www.youtube.com/watch?v=ueh4P1CF1VY,aj_kabrit,,,,,
الدحيح - حلقة مدفوعة الأجر,https://www.youtube.com/watch?v=fnp4qbQRO8Q,aj_kabrit,,,,,
الدحيح - زوبعة فنجان,https://www.youtube.com/watch?v=_9NiZWRrM7Y,aj_kabrit,,,,,
الدحيح - الأشعة الكونية,https://www.youtube.com/watch?v=W5xtfJ9NF2E,aj_kabrit,,,,,
الدحيح - الرعب النووي,https://www.youtube.com/watch?v=fPYCDLymh4Q,aj_kabrit,,,,,
الدحيح - الهاتف الذكي,https://www.youtube.com/watch?v=P6Dqi2DZHYU,aj_kabrit,,,,,
الدحيح - اختبار الذكاء,https://www.youtube.com/watch?v=bkqGAcAmyJc,aj_kabrit,,,,,
الدحيح - الرجل الأبيض شايل سيفه,https://www.youtube.com/watch?v=mP6Psd6YcQI,aj_kabrit,,,,,
الدحيح - اليابان الرِّوش,https://www.youtube.com/watch?v=UuwA_avpd8o,aj_kabrit,,,,,
الدحيح - هو وهي ودوائر الهوية,https://www.youtube.com/watch?v=PyJzz0zncU4,aj_kabrit,,,,,
الدحيح - الذكاء الغبي,https://www.youtube.com/watch?v=aqKHbCwhA9Y,aj_kabrit,,,,,
الدحيح - الطاقة المظلمة,https://www.youtube.com/watch?v=exX2Bi1EYJ4,aj_kabrit,,,,,
الدحيح - كله بالبركة,https://www.youtube.com/watch?v=2d_5xO9ZSPY,aj_kabrit,,,,,
الدحيح - القرصنة,https://www.youtube.com/watch?v=F3kut9M4ick,aj_kabrit,,,,,
الدحيح - خيار وتفاح,https://www.youtube.com/watch?v=4q7SFKBXVro,aj_kabrit,,,,,
الدحيح - حرب كرة القدم,https://www.youtube.com/watch?v=8TIygq4QHh4,aj_kabrit,,,,,
"الدحيح - ""كوبي رايت""",https://www.youtube.com/watch?v=CylgmoixaP0,aj_kabrit,,,,,
الدحيح - لا ناموس بعد اليوم,https://www.youtube.com/watch?v=YZo8TjZGrsE,aj_kabrit,,,,,
الدحيح - فيلم ثقافي,https://www.youtube.com/watch?v=0l7MMsJ4i4I,aj_kabrit,,,,,
الدحيح - مدمن نجاحات,https://www.youtube.com/watch?v=YdvywuZVrfs,aj_kabrit,,,,,
الدحيح - يا محاسن الصدف,https://www.youtube.com/watch?v=4SdJnp88M-I,aj_kabrit,,,,,
الدحيح - الحاسة السادسة,https://www.youtube.com/watch?v=Gb_p1I_CxXA,aj_kabrit,,,,,
الدحيح - المادة المظلمة,https://www.youtube.com/watch?v=08r7d-WjHks,aj_kabrit,,,,,
الدحيح - ميسي المتخاذل,https://www.youtube.com/watch?v=kE8Sc_sqauE,aj_kabrit,,,,,
الدحيح - عائلة الحاج متولي مرزوق,https://www.youtube.com/watch?v=_F0pNv41qMk,aj_kabrit,,,,,
الدحيح - طيران الأستاذ ممتاز,https://www.youtube.com/watch?v=vmmGJTdmgts,aj_kabrit,,,,,
الدحيح - تسلا وسبيس إكس,https://www.youtube.com/watch?v=OOu55yn6JQQ,aj_kabrit,,,,,
الدحيح - بدايات إيلون ماسك,https://www.youtube.com/watch?v=li-aMKu4rDc,aj_kabrit,,,,,
الدحيح - إحياء الموتى,https://www.youtube.com/watch?v=YkgG7b_n9oU,aj_kabrit,,,,,
الدحيح - إبراهيم وحسام,https://www.youtube.com/watch?v=nmZcGPIrojI,aj_kabrit,,,,,
الدحيح - جيناتي عزة,https://www.youtube.com/watch?v=QeXT7SOTaAM,aj_kabrit,,,,,
الدحيح - موت قزح,https://www.youtube.com/watch?v=PsjQKnSbmqg,aj_kabrit,,,,,
الدحيح - بريكست,https://www.youtube.com/watch?v=mJVwgFKvADQ,aj_kabrit,,,,,
الدحيح - أخطر فركشة في التاريخ,https://www.youtube.com/watch?v=uhAg97NqLuI,aj_kabrit,,,,,
الدحيح - في بيتنا أسد,https://www.youtube.com/watch?v=RmXitCZ7eho,aj_kabrit,,,,,
الدحيح - هو الكون إيه؟,https://www.youtube.com/watch?v=16qSo2DuHDI,aj_kabrit,,,,,
الدحيح - محاكمة الطب الجنائي,https://www.youtube.com/watch?v=2K_gWxST1Vg,aj_kabrit,,,,,
الدحيح - عليك واحد,https://www.youtube.com/watch?v=j-NIePo6XF4,aj_kabrit,,,,,
الدحيح - ليه بنموت؟,https://www.youtube.com/watch?v=UIz-y4COX_I,aj_kabrit,,,,,
الدحيح - أرقام كاذبة,https://www.youtube.com/watch?v=QERwdX4kt3E,aj_kabrit,,,,,
الدحيح - هشاشة السلامة,https://www.youtube.com/watch?v=BdZo4ixQKO4,aj_kabrit,,,,,
الدحيح - الزم حدودك,https://www.youtube.com/watch?v=_38iAr7mDso,aj_kabrit,,,,,
الدحيح - الطب النفسي,https://www.youtube.com/watch?v=ftbgcarkxS0,aj_kabrit,,,,,
الدحيح - الباندا,https://www.youtube.com/watch?v=xwdn-GEa268,aj_kabrit,,,,,
الدحيح - العلاج المناعي,https://www.youtube.com/watch?v=6VZC_eCwys8,aj_kabrit,,,,,
الدحيح - الانقراض,https://www.youtube.com/watch?v=4XVxKeRj3EM,aj_kabrit,,,,,
الدحيح - قصة القصة,https://www.youtube.com/watch?v=hHiCfg6csNA,aj_kabrit,,,,,
الدحيح - شنب وفستان,https://www.youtube.com/watch?v=yQ2b6srpnPI,aj_kabrit,,,,,
الدحيح - البيولوجيا الكمية,https://www.youtube.com/watch?v=9n-Ne3in2rg,aj_kabrit,,,,,
الدحيح - روسيا,https://www.youtube.com/watch?v=NbxoNMmifR4,aj_kabrit,,,,,
الدحيح - فضيلة الأنانية,https://www.youtube.com/watch?v=IXn-AR8GLfk,aj_kabrit,,,,,
الدحيح - هل الحيوانات تحلم؟,https://www.youtube.com/watch?v=T7kFMRhz0Tw,aj_kabrit,,,,,
الدحيح - على جنب يا اسطى,https://www.youtube.com/watch?v=cm3fDQ4YFDw,aj_kabrit,,,,,
الدحيح - الحرب العالمية الثانية,https://www.youtube.com/watch?v=dEiS_WpFuc0,aj_kabrit,,,,,
الدحيح - هتلر 2,https://www.youtube.com/watch?v=GnpwWk_75vc,aj_kabrit,,,,,
الدحيح - حيوانات حساسة,https://www.youtube.com/watch?v=F6MvE6LobFM,aj_kabrit,,,,,
الدحيح - الظاهرة كريم بنزيمة,https://www.youtube.com/watch?v=wR9-qhoRfwE,aj_kabrit,,,,,
الدحيح - حساسية المياه,https://www.youtube.com/watch?v=5dQb3-c_bPo,aj_kabrit,,,,,
الدحيح - النرجسية,https://www.youtube.com/watch?v=iLyKbfr89Mc,aj_kabrit,,,,,""""" ! @Da7ee7"
الدحيح - الصدفة,https://www.youtube.com/watch?v=5IfivfvpgWw,aj_kabrit,,,,,
الدحيح - الكائن الطباخ,https://www.youtube.com/watch?v=WWxMV2rR5fE,aj_kabrit,,,,,
الدحيح - نظارات شمس,https://www.youtube.com/watch?v=0wmALpeGjnM,aj_kabrit,,,,,
